,Unnamed: 0,number,variable,sum_var,pis,sum_pis,clust_threshold
3,3,3,289,1510,888,5562,../epiddrad/clust_85_outfiles/clust_85_stats.txt
4,4,4,373,3002,956,9386,../epiddrad/clust_85_outfiles/clust_85_stats.txt
5,5,5,464,5322,1036,14566,../epiddrad/clust_85_outfiles/clust_85_stats.txt
6,6,6,563,8700,1058,20914,../epiddrad/clust_85_outfiles/clust_85_stats.txt
7,7,7,667,13369,1066,28376,../epiddrad/clust_85_outfiles/clust_85_stats.txt
8,8,8,701,18977,1113,37280,../epiddrad/clust_85_outfiles/clust_85_stats.txt
9,9,9,821,26366,1181,47909,../epiddrad/clust_85_outfiles/clust_85_stats.txt
10,10,10,921,35576,1066,58569,../epiddrad/clust_85_outfiles/clust_85_stats.txt
11,11,11,933,45839,1005,69624,../epiddrad/clust_85_outfiles/clust_85_stats.txt
12,12,12,1063,58595,1060,82344,../epiddrad/clust_85_outfiles/clust_85_stats.txt
13,13,13,1030,71985,985,95149,../epiddrad/clust_85_outfiles/clust_85_stats.txt
14,14,14,981,85719,845,106979,../epiddrad/clust_85_outfiles/clust_85_stats.txt
15,15,15,1066,101709,778,118649,../epiddrad/clust_85_outfiles/clust_85_stats.txt
16,16,16,988,117517,716,130105,../epiddrad/clust_85_outfiles/clust_85_stats.txt
17,17,17,982,134211,650,141155,../epiddrad/clust_85_outfiles/clust_85_stats.txt
18,18,18,899,150393,533,150749,../epiddrad/clust_85_outfiles/clust_85_stats.txt
19,19,19,896,167417,509,160420,../epiddrad/clust_85_outfiles/clust_85_stats.txt
20,20,20,809,183597,424,168900,../epiddrad/clust_85_outfiles/clust_85_stats.txt
21,21,21,756,199473,360,176460,../epiddrad/clust_85_outfiles/clust_85_stats.txt
22,22,22,691,214675,319,183478,../epiddrad/clust_85_outfiles/clust_85_stats.txt
23,23,23,623,229004,242,189044,../epiddrad/clust_85_outfiles/clust_85_stats.txt
24,24,24,607,243572,249,195020,../epiddrad/clust_85_outfiles/clust_85_stats.txt
25,25,25,559,257547,203,200095,../epiddrad/clust_85_outfiles/clust_85_stats.txt
26,26,26,461,269533,151,204021,../epiddrad/clust_85_outfiles/clust_85_stats.txt
27,27,27,405,280468,138,207747,../epiddrad/clust_85_outfiles/clust_85_stats.txt
28,28,28,347,290184,100,210547,../epiddrad/clust_85_outfiles/clust_85_stats.txt
29,29,29,302,298942,98,213389,../epiddrad/clust_85_outfiles/clust_85_stats.txt
